"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"85","ENSG00000155629","PIK3AP1","","sig","human_related_pigtailed_macaque ",9.46004273981019,"pigtailed_macaque"
"86","ENSG00000168334","XIRP1","","ns","human_related_pigtailed_macaque ",6.20925295167727,"pigtailed_macaque"
"87","ENSG00000084628","NKAIN1","","sig","human_related_pigtailed_macaque ",6.07409175417327,"pigtailed_macaque"
"88","ENSG00000175946","KLHL38","","sig","human_related_pigtailed_macaque ",5.8573232026389,"pigtailed_macaque"
"89","ENSG00000141668","CBLN2","","ns","human_related_pigtailed_macaque ",4.78160586685925,"pigtailed_macaque"
"90","ENSG00000118113","MMP8","","ns","human_related_pigtailed_macaque ",4.19416921343247,"pigtailed_macaque"
"91","ENSG00000167105","TMEM92","","sig","human_related_pigtailed_macaque ",3.36936110779656,"pigtailed_macaque"
"92","ENSG00000155629","PIK3AP1","sig","","pigtailed_macaque",0.650099586708636,"pigtailed_macaque"
"93","ENSG00000168334","XIRP1","sig","","pigtailed_macaque",1.67391969905499,"pigtailed_macaque"
"94","ENSG00000084628","NKAIN1","sig","","pigtailed_macaque",-0.884326660205118,"pigtailed_macaque"
"95","ENSG00000175946","KLHL38","sig","","pigtailed_macaque",1.23839352432918,"pigtailed_macaque"
"96","ENSG00000141668","CBLN2","sig","","pigtailed_macaque",0.242611430858648,"pigtailed_macaque"
"97","ENSG00000118113","MMP8","sig","","pigtailed_macaque",-1.62072651809088,"pigtailed_macaque"
"98","ENSG00000167105","TMEM92","sig","","pigtailed_macaque",-1.17777367358847,"pigtailed_macaque"
"99","ENSG00000155629","PIK3AP1","","ns","human_related_olive_baboon ",9.48686389164092,"olive_baboon"
"100","ENSG00000168334","XIRP1","","ns","human_related_olive_baboon ",6.22578058101419,"olive_baboon"
"101","ENSG00000084628","NKAIN1","","sig","human_related_olive_baboon ",6.10736745355783,"olive_baboon"
"102","ENSG00000175946","KLHL38","","sig","human_related_olive_baboon ",5.86636755200848,"olive_baboon"
"103","ENSG00000141668","CBLN2","","sig","human_related_olive_baboon ",4.32697010104035,"olive_baboon"
"104","ENSG00000118113","MMP8","","ns","human_related_olive_baboon ",4.24349418052483,"olive_baboon"
"105","ENSG00000167105","TMEM92","","ns","human_related_olive_baboon ",3.41587070088043,"olive_baboon"
"106","ENSG00000155629","PIK3AP1","sig","","olive_baboon",0.0794760404421977,"olive_baboon"
"107","ENSG00000168334","XIRP1","sig","","olive_baboon",-0.371454367451522,"olive_baboon"
"108","ENSG00000084628","NKAIN1","sig","","olive_baboon",-1.42091402754152,"olive_baboon"
"109","ENSG00000175946","KLHL38","sig","","olive_baboon",1.98528490344192,"olive_baboon"
"110","ENSG00000141668","CBLN2","sig","","olive_baboon",0.837186682395498,"olive_baboon"
"111","ENSG00000118113","MMP8","sig","","olive_baboon",-0.371464420236613,"olive_baboon"
"112","ENSG00000167105","TMEM92","sig","","olive_baboon",0.120945073021233,"olive_baboon"
