"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"139","ENSG00000168309","FAM107A","","ns","human_related_olive_baboon ",4.31485150288767,"olive_baboon"
"140","ENSG00000243232","PCDHAC2","","sig","human_related_olive_baboon ",4.22904290344278,"olive_baboon"
"141","ENSG00000165923","AGBL2","","ns","human_related_olive_baboon ",3.77970482303111,"olive_baboon"
"142","ENSG00000147485","PXDNL","","ns","human_related_olive_baboon ",3.6973767768761,"olive_baboon"
"143","ENSG00000111452","ADGRD1","","sig","human_related_olive_baboon ",2.77690178262863,"olive_baboon"
"144","ENSG00000162687","KCNT2","","sig","human_related_olive_baboon ",2.77129647957727,"olive_baboon"
"145","ENSG00000111816","FRK","","sig","human_related_olive_baboon ",1.70388353478948,"olive_baboon"
"146","ENSG00000100298","APOBEC3H","","sig","human_related_olive_baboon ",0.607471004717777,"olive_baboon"
"147","ENSG00000162630","B3GALT2","","sig","human_related_olive_baboon ",-1.99371090033244,"olive_baboon"
"148","ENSG00000004468","CD38","sig","","olive_baboon",7.21960243517533,"olive_baboon"
"149","ENSG00000174808","BTC","sig","","olive_baboon",3.86591171709619,"olive_baboon"
"150","ENSG00000180616","SSTR2","sig","","olive_baboon",1.0076314999412,"olive_baboon"
"151","ENSG00000136689","IL1RN","sig","","olive_baboon",3.44649887803426,"olive_baboon"
"152","ENSG00000177989","ODF3B","sig","","olive_baboon",3.57223852846092,"olive_baboon"
"153","ENSG00000156219","ART3","sig","","olive_baboon",3.49871949162225,"olive_baboon"
"154","ENSG00000134716","CYP2J2","sig","","olive_baboon",3.01873694482285,"olive_baboon"
"155","ENSG00000163347","CLDN1","sig","","olive_baboon",0.994577812377783,"olive_baboon"
"156","ENSG00000171714","ANO5","sig","","olive_baboon",-1.33917909141923,"olive_baboon"
"157","ENSG00000111837","MAK","sig","","olive_baboon",1.82025122908309,"olive_baboon"
"158","ENSG00000197142","ACSL5","sig","","olive_baboon",1.26613191948149,"olive_baboon"
"159","ENSG00000103313","MEFV","sig","","olive_baboon",-1.28212586060262,"olive_baboon"
"160","ENSG00000168309","FAM107A","sig","","olive_baboon",1.159034395542,"olive_baboon"
"161","ENSG00000243232","PCDHAC2","sig","","olive_baboon",-1.70171550745019,"olive_baboon"
"162","ENSG00000165923","AGBL2","sig","","olive_baboon",0.653047342176656,"olive_baboon"
"163","ENSG00000147485","PXDNL","sig","","olive_baboon",-1.3191351788597,"olive_baboon"
"164","ENSG00000111452","ADGRD1","sig","","olive_baboon",-2.00835906244396,"olive_baboon"
"165","ENSG00000162687","KCNT2","sig","","olive_baboon",-0.852081112607465,"olive_baboon"
"166","ENSG00000111816","FRK","sig","","olive_baboon",-2.56794333531081,"olive_baboon"
"167","ENSG00000100298","APOBEC3H","ns","","olive_baboon",5.16358985596598,"olive_baboon"
"168","ENSG00000162630","B3GALT2","sig","","olive_baboon",2.40552829173442,"olive_baboon"
