"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"200","ENSG00000172061",-1.03255083652297,1.22709792393632e-12,"LRRC15",-1.0083898150477,1.93337710633964e-12,"LRRC15","not","sig","LRRC15"
"201","ENSG00000136628",-0.889318368847528,1.33711465513555e-12,"EPRS",-0.886340756451499,1.2843707948089e-12,"EPRS","not","sig","EPRS"
"202","ENSG00000109466",-0.827431520088097,1.51129398248637e-12,"KLHL2",-0.810715982689013,2.83449574716353e-11,"KLHL2","not","sig","KLHL2"
"203","ENSG00000102081",1.06396689180374,1.51455939881118e-12,"FMR1",1.07359317786628,6.110946142468e-13,"FMR1","not","sig","FMR1"
"204","ENSG00000091986",-0.798232537663843,1.60033555349964e-12,"CCDC80",-0.805706916199292,9.6177081948216e-13,"CCDC80","not","sig","CCDC80"
"205","ENSG00000104951",3.88842681897269,1.66631366891505e-12,"IL4I1",3.57278413038924,1.10850704449289e-09,"IL4I1","not","sig","IL4I1"
"206","ENSG00000110092",-0.712582804000912,1.67464461438671e-12,"CCND1",-0.682793739687723,3.7138451969563e-11,"CCND1","not","sig","CCND1"
"207","ENSG00000151388",-1.22597018894003,1.67464461438671e-12,"ADAMTS12",-1.22503204330852,1.65674174431915e-12,"ADAMTS12","not","sig","ADAMTS12"
"208","ENSG00000159128",1.05922104690437,1.86447415350861e-12,"IFNGR2",0.991854271675996,5.42594552834286e-11,"IFNGR2","not","sig","IFNGR2"
"209","ENSG00000104549",-0.79810372744711,2.26309571074066e-12,"SQLE",-0.795819130980267,1.93337710633964e-12,"SQLE","not","sig","SQLE"
"210","ENSG00000106346",1.04344440310646,2.39749429054987e-12,"USP42",0.93865352130797,9.5603352269329e-18,"USP42","not","sig","USP42"
"211","ENSG00000140284",1.13438814864054,2.5594994840322e-12,"SLC27A2",1.13607916392704,4.25083723387735e-12,"SLC27A2","not","sig","SLC27A2"
"212","ENSG00000103966",0.655683716027332,2.90731491535315e-12,"EHD4",0.596109068608891,4.83617496540682e-10,"EHD4","not","sig","EHD4"
"213","ENSG00000136643",0.873288990571836,3.63193938811807e-12,"RPS6KC1",0.867802253020721,8.51881076858627e-12,"RPS6KC1","not","sig","RPS6KC1"
"214","ENSG00000175899",-0.953753585993977,3.7822418496636e-12,"A2M",-0.938266549425625,7.11664343940174e-12,"A2M","not","sig","A2M"
"215","ENSG00000186815",-1.00676356430924,3.7822418496636e-12,"TPCN1",-0.989473865215833,7.33534004044772e-12,"TPCN1","not","sig","TPCN1"
"216","ENSG00000105559",2.07812483273534,3.8209478433881e-12,"PLEKHA4",2.14534319736404,1.1278550872739e-13,"PLEKHA4","not","sig","PLEKHA4"
"217","ENSG00000102893",-0.963064291789439,4.27637607104383e-12,"PHKB",-0.936469388172465,1.20908967078014e-11,"PHKB","not","sig","PHKB"
"218","ENSG00000153029",0.993487401438537,4.56312427470612e-12,"MR1",0.980004504438451,1.41994374565602e-09,"MR1","not","sig","MR1"
"219","ENSG00000105835",1.1123133000793,4.91768612549503e-12,"NAMPT",1.17292244203891,9.54164808860053e-11,"NAMPT","not","sig","NAMPT"
"220","ENSG00000197614",-1.55954875492114,6.77648542981382e-12,"MFAP5",-1.56076029611536,7.1060791903393e-12,"MFAP5","not","sig","MFAP5"
"221","ENSG00000180817",0.556030681144271,6.86679408704206e-12,"PPA1",0.524861064213888,6.47603824715736e-10,"PPA1","not","sig","PPA1"
"222","ENSG00000106105",-0.953230607232229,1.08156832321621e-11,"GARS",-0.952089305291342,1.08504196903633e-11,"GARS","not","sig","GARS"
"223","ENSG00000067141",-0.837864621833407,1.15799955480266e-11,"NEO1",-0.826333728193132,1.1987988036853e-11,"NEO1","not","sig","NEO1"
"224","ENSG00000198911",-0.644300720726502,1.33805233213238e-11,"SREBF2",-0.636477302538217,2.55689652199625e-11,"SREBF2","not","sig","SREBF2"
"225","ENSG00000196187",0.940134627805589,1.40404413750692e-11,"TMEM63A",0.93416158889094,4.13104426840429e-12,"TMEM63A","not","sig","TMEM63A"
"226","ENSG00000261371",1.35580665066926,1.5352845187673e-11,"PECAM1",1.44108143018835,3.4195361642239e-13,"PECAM1","not","sig","PECAM1"
"227","ENSG00000114268",1.44648281638657,1.7682872457728e-11,"PFKFB4",1.44651612229278,2.19857166508568e-11,"PFKFB4","not","sig","PFKFB4"
"228","ENSG00000168268",-1.05221337762978,1.8003635122656e-11,"NT5DC2",-1.01609719454711,9.16888426869653e-11,"NT5DC2","not","sig","NT5DC2"
"229","ENSG00000168615",-0.924810727248859,1.8396006403972e-11,"ADAM9",-0.933504036796983,8.6769847365988e-12,"ADAM9","not","sig","ADAM9"
"230","ENSG00000137507",0.762602536122439,1.95719045734846e-11,"LRRC32",0.782036551569905,1.37646983625728e-11,"LRRC32","not","sig","LRRC32"
"231","ENSG00000168016",0.969139348701543,1.95719045734846e-11,"TRANK1",0.997343691971889,5.64927401918838e-13,"TRANK1","not","sig","TRANK1"
"232","ENSG00000173039",0.551918909105988,1.97204914516608e-11,"RELA",0.565469969970327,1.09356606937823e-11,"RELA","not","sig","RELA"
"233","ENSG00000122176",-1.42688382457121,2.01770569316797e-11,"FMOD",-1.601773894763,1.87085469069136e-13,"FMOD","not","sig","FMOD"
"234","ENSG00000197093",1.57104350996143,2.02509968403449e-11,"GAL3ST4",1.83191922208679,3.57380212820091e-12,"GAL3ST4","not","sig","GAL3ST4"
"235","ENSG00000156232",0.954598525308791,2.06780436864963e-11,"WHAMM",0.931580177767489,1.15516971808601e-10,"WHAMM","not","sig","WHAMM"
"236","ENSG00000111912",1.26879538768001,2.10070953148105e-11,"NCOA7",1.13589812237755,2.89870460456841e-09,"NCOA7","not","sig","NCOA7"
