"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"350","ENSG00000116663",2.06992546230177,1.02941231667917e-30,"FBXO6",2.08394802699593,3.03493279242641e-29,"FBXO6","not","sig","FBXO6"
"351","ENSG00000146411",2.87468726372707,1.23648199048992e-30,"SLC2A12",2.8429466119462,1.18068206617479e-27,"SLC2A12","not","sig","SLC2A12"
"352","ENSG00000035499",-1.86730659549793,1.54870825172433e-30,"DEPDC1B",-2.00930883090688,1.07720812554422e-28,"DEPDC1B","not","sig","DEPDC1B"
"353","ENSG00000168016",2.11307780077456,1.84543114332711e-30,"TRANK1",2.09499269255606,3.16374015031632e-29,"TRANK1","not","sig","TRANK1"
"354","ENSG00000128203",2.47813673154369,1.93005042004342e-30,"ASPHD2",2.42589153764774,7.09706789215487e-29,"ASPHD2","not","sig","ASPHD2"
"355","ENSG00000136052",2.28450768113927,2.07873155473945e-30,"SLC41A2",2.33579029315406,4.11677969953084e-29,"SLC41A2","not","sig","SLC41A2"
"356","ENSG00000138134",1.48650392438859,2.23559842440109e-30,"STAMBPL1",1.4194942998972,2.55269668884377e-25,"STAMBPL1","not","sig","STAMBPL1"
"357","ENSG00000184584",1.68762051286972,2.3628168541399e-30,"TMEM173",1.60466416678256,2.36881644063958e-26,"TMEM173","not","sig","TMEM173"
"358","ENSG00000147119",2.36265788956317,4.00735842935527e-30,"CHST7",2.36304892385473,1.01323231202832e-22,"CHST7","not","sig","CHST7"
"359","ENSG00000181019",-1.69616673712552,4.00735842935527e-30,"NQO1",-1.74914895360679,2.07659227437149e-30,"NQO1","not","sig","NQO1"
"360","ENSG00000140943",-1.07379190325358,6.68048237420235e-30,"MBTPS1",-1.06850980414572,1.6254557096928e-29,"MBTPS1","not","sig","MBTPS1"
