"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"206","ENSG00000117475",1.42424591768144,3.1243299132711e-36,"BLZF1",1.48456244477795,7.36218297779472e-41,"BLZF1","not","sig","BLZF1"
"207","ENSG00000151466",1.8923243231338,3.47415503222938e-36,"SCLT1",1.86993418535102,1.84655982969511e-35,"SCLT1","not","sig","SCLT1"
"208","ENSG00000162692",3.17631561726524,4.41514822802681e-36,"VCAM1",3.206544573755,2.05098052586236e-36,"VCAM1","not","sig","VCAM1"
"209","ENSG00000155287",2.6329561080174,5.63026523946602e-36,"SLC25A28",2.64174340583213,1.29790022427036e-36,"SLC25A28","not","sig","SLC25A28"
"210","ENSG00000107554",0.986684311618841,2.28947450628272e-35,"DNMBP",1.02201282418039,1.06053314436971e-37,"DNMBP","not","sig","DNMBP"
"211","ENSG00000166888",1.3064278950503,2.96443401323333e-35,"STAT6",1.26010444409602,3.01593157009422e-32,"STAT6","not","sig","STAT6"
"212","ENSG00000115271",4.60106376319322,4.67075231760357e-35,"GCA",4.57969896713674,1.50565699865602e-34,"GCA","not","sig","GCA"
"213","ENSG00000145386",-1.54877235886016,4.90265810269969e-35,"CCNA2",-1.43712755802879,5.23858962471472e-31,"CCNA2","not","sig","CCNA2"
"214","ENSG00000109805",-1.52257061369632,7.32834340441632e-35,"NCAPG",-1.49312843376795,2.68053152850704e-34,"NCAPG","not","sig","NCAPG"
"215","ENSG00000124256",8.60625857795684,8.06775187019536e-35,"ZBP1",8.94834216900243,1.36011479046739e-34,"ZBP1","not","sig","ZBP1"
"216","ENSG00000163870",2.53522890204248,1.1522002739572e-34,"TPRA1",2.56161931059676,3.28370788164742e-35,"TPRA1","not","sig","TPRA1"
"217","ENSG00000109320",1.23975168366131,1.63747093374453e-34,"NFKB1",1.27112165694621,2.55715711482746e-36,"NFKB1","not","sig","NFKB1"
"218","ENSG00000111412",-1.23170692206567,2.06918631467587e-34,"C12orf49",-1.17956748748685,1.59923216882669e-29,"C12orf49","not","sig","C12orf49"
"219","ENSG00000137842",1.59092741590443,4.86855375579783e-34,"TMEM62",1.64559046436289,3.10512715497314e-37,"TMEM62","not","sig","TMEM62"
"220","ENSG00000126821",-1.43979973505603,5.94117087879459e-34,"SGPP1",-1.40091578639735,3.74763683967648e-33,"SGPP1","not","sig","SGPP1"
"221","ENSG00000144655",1.55152257548852,5.94117087879459e-34,"CSRNP1",1.58664832871381,7.96342227711755e-34,"CSRNP1","not","sig","CSRNP1"
"222","ENSG00000105726",1.27291044210823,7.63623664190449e-34,"ATP13A1",1.29544077844418,5.65356874742702e-34,"ATP13A1","not","sig","ATP13A1"
"223","ENSG00000158773",1.96031008124739,9.31992802181035e-34,"USF1",1.94349895150997,3.1018562440084e-32,"USF1","not","sig","USF1"
"224","ENSG00000168676",8.97697836677301,1.02238380270714e-33,"KCTD19",8.88619725661895,7.65223157533229e-34,"KCTD19","not","sig","KCTD19"
"225","ENSG00000142583",2.18150658981614,2.60383332921404e-33,"SLC2A5",2.16512004026011,4.65085405083072e-33,"SLC2A5","not","sig","SLC2A5"
"226","ENSG00000116514",2.21297742701953,3.93899169038329e-33,"RNF19B",2.28357938000244,2.76681620973044e-35,"RNF19B","not","sig","RNF19B"
"227","ENSG00000106829",1.11603817589156,4.5926263762856e-33,"TLE4",1.11606470302575,1.75073855719762e-34,"TLE4","not","sig","TLE4"
"228","ENSG00000157873",3.64796875647601,5.14627942096341e-33,"TNFRSF14",3.69760712300473,2.04120033969468e-29,"TNFRSF14","not","sig","TNFRSF14"
"229","ENSG00000099250",1.24095162145944,9.92044242165966e-33,"NRP1",1.2839634332217,8.59073539195197e-37,"NRP1","not","sig","NRP1"
"230","ENSG00000197208",1.63177158697171,1.49763574721189e-32,"SLC22A4",1.68813754117469,4.34820532746572e-30,"SLC22A4","not","sig","SLC22A4"
"231","ENSG00000100084",1.78020077893114,1.73673754294886e-32,"HIRA",1.62406112439907,1.21902177256833e-20,"HIRA","not","sig","HIRA"
"232","ENSG00000100647",1.21036571430587,2.59165524128426e-32,"SUSD6",1.25396171077985,4.90292722499496e-35,"SUSD6","not","sig","SUSD6"
"233","ENSG00000172123",1.42556643851085,2.88527926704891e-32,"SLFN12",1.53482554779165,1.16458195465974e-30,"SLFN12","not","sig","SLFN12"
"234","ENSG00000042062",2.88983592796804,5.53255430525821e-32,"RIPOR3",3.07790169840133,1.14888023432454e-30,"RIPOR3","not","sig","RIPOR3"
"235","ENSG00000138760",1.08251499761537,9.20473210153466e-32,"SCARB2",1.08764598777758,2.58722978236471e-33,"SCARB2","not","sig","SCARB2"
"236","ENSG00000142961",1.59386374725377,9.20473210153466e-32,"MOB3C",1.56078037454458,1.42069276057175e-28,"MOB3C","not","sig","MOB3C"
"237","ENSG00000120217",3.18036689608526,1.06585522461628e-31,"CD274",3.20997780254914,1.41859090764789e-31,"CD274","not","sig","CD274"
"238","ENSG00000132792",1.86215150424506,1.61882349324871e-31,"CTNNBL1",1.87791247124268,1.27055657902536e-31,"CTNNBL1","not","sig","CTNNBL1"
"239","ENSG00000171848",-1.49486672911446,1.73619787609772e-31,"RRM2",-1.34895963489353,3.47858872329047e-19,"RRM2","not","sig","RRM2"
"240","ENSG00000165801",1.71711679050387,1.80714333829449e-31,"ARHGEF40",1.53318349509112,2.30769609440869e-26,"ARHGEF40","not","sig","ARHGEF40"
"241","ENSG00000004468",5.76688380245505,5.39012133333028e-31,"CD38",6.07990193684219,1.20286063560631e-47,"CD38","not","sig","CD38"
"242","ENSG00000117298",1.15107872208043,7.2275141570401e-31,"ECE1",1.21256261638657,4.67908631704859e-33,"ECE1","not","sig","ECE1"
"243","ENSG00000178719",1.60789649530379,1.09368411360149e-30,"GRINA",1.63541006134854,6.20444941620312e-32,"GRINA","not","sig","GRINA"
"244","ENSG00000114450",1.8788607946796,1.62192251173339e-30,"GNB4",1.25174255153773,2.54769813820952e-10,"GNB4","not","sig","GNB4"
"245","ENSG00000168016",1.87120056511126,3.92178024688751e-30,"TRANK1",1.8980742102075,5.47103303290725e-30,"TRANK1","not","sig","TRANK1"
"246","ENSG00000204403",1.46348103545714,4.26665245562407e-30,"CASP12",1.45287689388692,4.53238245769392e-21,"CASP12","not","sig","CASP12"
"247","ENSG00000216490",3.09745144330945,4.26665245562407e-30,"IFI30",2.16751342033007,0.479341145137187,"IFI30","not","nonsig","IFI30"
"248","ENSG00000030110",2.06342896538616,5.01978099042526e-30,"BAK1",2.34175241717367,4.21949638100632e-33,"BAK1","not","sig","BAK1"
"249","ENSG00000144283",-1.3385813088624,5.411506371211e-30,"PKP4",-1.32533747992134,2.78554947055809e-29,"PKP4","not","sig","PKP4"
"250","ENSG00000109466",-1.24933159194679,9.27070769447695e-30,"KLHL2",-1.24585602946048,4.74719970003828e-28,"KLHL2","not","sig","KLHL2"
"251","ENSG00000158457",5.16158641957847,1.02987796210052e-29,"TSPAN33",5.1847049043216,4.81203840067698e-30,"TSPAN33","not","sig","TSPAN33"
"252","ENSG00000140105",2.27478496056207,1.18450747577572e-29,"WARS",2.32128349015783,9.96280934123354e-31,"WARS","not","sig","WARS"
"253","ENSG00000090339",5.64643836090536,1.26842192657639e-29,"ICAM1",5.74275167932492,7.17024388279998e-27,"ICAM1","not","sig","ICAM1"
"254","ENSG00000162944",1.44149163505565,1.32568225020682e-29,"RFTN2",1.47979297797675,1.62335660658615e-31,"RFTN2","not","sig","RFTN2"
"255","ENSG00000166801",1.85383686696461,1.3639475900082e-29,"FAM111A",1.85432904064015,1.53621105660859e-30,"FAM111A","not","sig","FAM111A"
"256","ENSG00000147872",1.85742929340583,1.46135333160319e-29,"PLIN2",1.22111724826348,4.3593240223184e-15,"PLIN2","not","sig","PLIN2"
"257","ENSG00000173039",1.24827499697603,2.2131605981915e-29,"RELA",1.28822375867736,1.82724277682925e-30,"RELA","not","sig","RELA"
"258","ENSG00000170035",-1.49483267754145,2.84139182008798e-29,"UBE2E3",-1.40074213926165,1.72558132199405e-28,"UBE2E3","not","sig","UBE2E3"
"259","ENSG00000151726",1.89915983932701,7.01955946855284e-29,"ACSL1",1.93659760968466,7.25285477559139e-31,"ACSL1","not","sig","ACSL1"
