"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"421","ENSG00000164032",-1.53876553538977,8.31101464745875e-25,"H2AFZ",-1.53439054349551,8.46040399970964e-25,"H2AFZ","not","sig","H2AFZ"
"422","ENSG00000159055",-1.34152677583444,8.79240310884303e-25,"MIS18A",-1.35793446216705,3.13572872978998e-24,"MIS18A","not","sig","MIS18A"
"423","ENSG00000151466",1.16891376641796,9.40568880949139e-25,"SCLT1",1.1824879822083,7.36827390826575e-26,"SCLT1","not","sig","SCLT1"
"424","ENSG00000165806",1.3048453320296,9.89489455446919e-25,"CASP7",1.29405003869647,4.61560582847667e-25,"CASP7","not","sig","CASP7"
"425","ENSG00000129173",-2.03161197455396,1.08656384364203e-24,"E2F8",-2.06910564930959,1.35467227685187e-24,"E2F8","not","sig","E2F8"
"426","ENSG00000196776",1.58952002209965,1.16462343989484e-24,"CD47",1.58548001938886,5.36221052534793e-28,"CD47","not","sig","CD47"
"427","ENSG00000119915",4.81084124303167,1.20007271717128e-24,"ELOVL3",4.79847559004343,7.47865749537862e-24,"ELOVL3","not","sig","ELOVL3"
"428","ENSG00000183801",1.89669694973701,1.43401212878238e-24,"OLFML1",1.89049249361888,3.70408555990377e-26,"OLFML1","not","sig","OLFML1"
"429","ENSG00000234127",1.25491237021572,1.43401212878238e-24,"TRIM26",1.24919811103793,7.34586290531017e-21,"TRIM26","not","sig","TRIM26"
"430","ENSG00000120526",1.45774794241098,1.58384294141363e-24,"NUDCD1",1.48141595938186,4.14450866826196e-31,"NUDCD1","not","sig","NUDCD1"
"431","ENSG00000138378",3.67157826269004,1.65828090253972e-24,"STAT4",3.67396905862794,3.61237471899433e-24,"STAT4","not","sig","STAT4"
"432","ENSG00000117632",-1.37767217590652,1.72276033527444e-24,"STMN1",-1.37985180824682,2.99110514866056e-23,"STMN1","not","sig","STMN1"
"433","ENSG00000171621",2.13016836895747,1.82510136739347e-24,"SPSB1",2.08593891931106,5.01134552760332e-22,"SPSB1","not","sig","SPSB1"
"434","ENSG00000165259",1.71056289683745,1.9605338011841e-24,"HDX",1.68110341924623,7.37466864978328e-27,"HDX","not","sig","HDX"
"435","ENSG00000104951",4.80696873207242,3.98532864690731e-24,"IL4I1",7.16484245703556,1.95949884683283e-38,"IL4I1","not","sig","IL4I1"
"436","ENSG00000171016",-1.83387108333571,4.27979033770002e-24,"PYGO1",-1.76649644018815,5.48150902493784e-24,"PYGO1","not","sig","PYGO1"
"437","ENSG00000076108",1.23103320509739,4.48205442862382e-24,"BAZ2A",1.10935039028772,4.43219518623437e-23,"BAZ2A","not","sig","BAZ2A"
"438","ENSG00000091483",-1.10957014750278,5.30475113365158e-24,"FH",-1.12103438265271,5.68519319484554e-22,"FH","not","sig","FH"
"439","ENSG00000135211",1.9199440355222,5.31854712076214e-24,"TMEM60",1.89852192950048,1.32815054800996e-25,"TMEM60","not","sig","TMEM60"
"440","ENSG00000169439",-1.67071602181189,5.82660268579746e-24,"SDC2",-1.67396397501147,2.37816791024891e-26,"SDC2","not","sig","SDC2"
"441","ENSG00000107104",-1.01324435821177,6.61441826605747e-24,"KANK1",-1.03103463064117,6.02455040529757e-24,"KANK1","not","sig","KANK1"
"442","ENSG00000204767",1.78053919965891,6.71294067709121e-24,"FAM196B",1.79715386321417,1.00691105415303e-26,"FAM196B","not","sig","FAM196B"
