"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"75","ENSG00000123609",2.88354072732274,4.13511595489442e-70,"NMI",2.89139460002595,1.20687981461346e-70,"NMI","not","sig","NMI"
"76","ENSG00000213886",7.08252885897326,4.48538593058491e-70,"UBD",3.7382208319012,0.510528573964554,"UBD","different","nonsig","UBD"
"77","ENSG00000130775",6.26763422950399,3.09119428721766e-69,"THEMIS2",6.75977349147291,2.01223818454573e-67,"THEMIS2","not","sig","THEMIS2"
"78","ENSG00000130066",3.72143898272988,5.06073466947775e-69,"SAT1",3.96648868567693,7.3989100846593e-83,"SAT1","not","sig","SAT1"
"79","ENSG00000122643",2.6641518242993,6.19568165648229e-69,"NT5C3A",2.82608820051229,5.04387535741772e-76,"NT5C3A","not","sig","NT5C3A"
"80","ENSG00000115919",4.65189955301673,2.1160860646868e-68,"KYNU",4.56851325282755,1.0057444910862e-68,"KYNU","not","sig","KYNU"
"81","ENSG00000168062",8.34274183481351,2.72356680149222e-68,"BATF2",8.26863773921805,2.09866592722105e-67,"BATF2","not","sig","BATF2"
"82","ENSG00000112343",2.47086549982006,3.39172470770539e-68,"TRIM38",2.45104347928428,2.05396297521771e-72,"TRIM38","not","sig","TRIM38"
"83","ENSG00000185862",5.65089772380606,2.1785158367901e-67,"EVI2B",5.57557790953948,1.14641492483697e-56,"EVI2B","not","sig","EVI2B"
"84","ENSG00000163565",2.15687710072093,5.4465747551457e-67,"IFI16",2.16469644228956,3.87711877569261e-67,"IFI16","not","sig","IFI16"
"85","ENSG00000026950",1.94283421009303,7.77512180069766e-67,"BTN3A1",1.91187454215943,8.48501905292032e-69,"BTN3A1","not","sig","BTN3A1"
"86","ENSG00000136689",5.92761618080151,4.53593425654811e-66,"IL1RN",5.93605580807007,1.18174685845096e-66,"IL1RN","not","sig","IL1RN"
"87","ENSG00000100336",4.38046072845319,9.74332328146119e-66,"APOL4",4.48598122374253,7.21882071728106e-50,"APOL4","not","sig","APOL4"
"88","ENSG00000163121",8.59193597679882,6.00871059338721e-65,"NEURL3",6.92087022312263,1.57650914925675e-20,"NEURL3","not","sig","NEURL3"
"89","ENSG00000120053",-1.37601750443787,1.66012216344249e-63,"GOT1",-1.38612946004416,1.88212801886642e-58,"GOT1","not","sig","GOT1"
"90","ENSG00000197208",2.82214686633046,3.1643320918283e-63,"SLC22A4",2.63590580881269,1.38355733036867e-69,"SLC22A4","not","sig","SLC22A4"
"91","ENSG00000184988",3.00390852691916,4.69079708574404e-63,"TMEM106A",2.95841563922303,2.34928047134529e-59,"TMEM106A","not","sig","TMEM106A"
"92","ENSG00000043143",2.06843855451253,1.23790686129019e-62,"JADE2",2.05135526869916,1.61743457262402e-60,"JADE2","not","sig","JADE2"
"93","ENSG00000135899",3.06396722448022,3.14085676963169e-61,"SP110",3.00300036467005,2.26945233931846e-65,"SP110","not","sig","SP110"
"94","ENSG00000117226",2.68164341361452,6.9237173755069e-60,"GBP3",2.61878838201469,3.42858138038332e-47,"GBP3","not","sig","GBP3"
