"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"207","ENSG00000136144",2.04617423267383,1.32690461225632e-58,"RCBTB1",2.05708219942537,1.41660612083561e-63,"RCBTB1","not","sig","RCBTB1"
"208","ENSG00000131269",1.70898211579319,2.62569704275335e-58,"ABCB7",1.66770407242307,4.88695137923783e-55,"ABCB7","not","sig","ABCB7"
"209","ENSG00000164164",2.11495600159721,9.16381338439272e-58,"OTUD4",2.05827284111502,5.84799833819941e-57,"OTUD4","not","sig","OTUD4"
"210","ENSG00000166073",1.19306310704794,2.51244443158685e-57,"GPR176",1.22102321114014,7.92944791588641e-54,"GPR176","not","sig","GPR176"
"211","ENSG00000160710",1.82191034820701,5.99392813381947e-57,"ADAR",1.83327460333721,6.40327949735489e-56,"ADAR","not","sig","ADAR"
"212","ENSG00000122779",1.66497705899494,6.48362355939749e-57,"TRIM24",1.66728823896808,5.83972337320119e-54,"TRIM24","not","sig","TRIM24"
"213","ENSG00000163132",3.67553554304281,9.49640251481748e-57,"MSX1",3.70642571825784,1.74160122387502e-58,"MSX1","not","sig","MSX1"
"214","ENSG00000159202",1.32562688785259,1.13775745159171e-56,"UBE2Z",1.32307354615935,4.37269055837175e-54,"UBE2Z","not","sig","UBE2Z"
"215","ENSG00000083799",2.09535606651951,6.1658187786447e-56,"CYLD",2.15176851788844,4.69512972517087e-55,"CYLD","not","sig","CYLD"
"216","ENSG00000104320",2.09345259651626,2.94961739283501e-55,"NBN",2.10954113067882,4.21170139775745e-56,"NBN","not","sig","NBN"
"217","ENSG00000145779",3.64950057267956,7.87923448084551e-55,"TNFAIP8",3.59064103114872,8.21445971982691e-62,"TNFAIP8","not","sig","TNFAIP8"
"218","ENSG00000139567",2.78535381773134,1.47700237122263e-54,"ACVRL1",2.74114968706277,9.86327662852e-52,"ACVRL1","not","sig","ACVRL1"
"219","ENSG00000108828",-1.88508603936909,2.53386332976073e-54,"VAT1",-1.88594341332211,2.73904902357385e-56,"VAT1","not","sig","VAT1"
"220","ENSG00000158470",1.68388240503269,6.42408590746731e-54,"B4GALT5",1.64430170968639,8.51266878988441e-57,"B4GALT5","not","sig","B4GALT5"
"221","ENSG00000171621",2.6771178451683,7.00116734629523e-54,"SPSB1",2.53954956766113,3.58006806609139e-58,"SPSB1","not","sig","SPSB1"
"222","ENSG00000168310",2.13447674986689,1.69825402639982e-53,"IRF2",2.2309036021089,1.1619016260117e-59,"IRF2","not","sig","IRF2"
"223","ENSG00000164604",6.59907893190381,1.91523286021273e-53,"GPR85",6.66140693146911,4.17016746240345e-28,"GPR85","not","sig","GPR85"
"224","ENSG00000185436",2.07465852863403,1.91523286021273e-53,"IFNLR1",2.19047945196288,2.6505524562636e-33,"IFNLR1","not","sig","IFNLR1"
"225","ENSG00000197632",6.02838630481945,2.76565601703642e-53,"SERPINB2",6.1119575231891,2.82756948834826e-55,"SERPINB2","not","sig","SERPINB2"
"226","ENSG00000183735",1.14529203628288,3.30447906435143e-53,"TBK1",1.1379045141267,1.19944350759334e-52,"TBK1","not","sig","TBK1"
"227","ENSG00000155287",3.28375667794249,6.14090799031113e-53,"SLC25A28",3.24301742203173,2.26205164950075e-50,"SLC25A28","not","sig","SLC25A28"
"228","ENSG00000065308",-1.82859761829844,8.60628275441598e-53,"TRAM2",-1.80362636345062,2.13971607801669e-50,"TRAM2","not","sig","TRAM2"
"229","ENSG00000197208",2.7738023821877,1.55200724927749e-52,"SLC22A4",2.75490123752443,1.22261501916282e-51,"SLC22A4","not","sig","SLC22A4"
"230","ENSG00000172345",2.80513331391001,1.60717659580755e-52,"STARD5",2.67213360747399,3.57998375177241e-52,"STARD5","not","sig","STARD5"
"231","ENSG00000174059",4.44163504207405,6.75011176426422e-52,"CD34",4.57102671574103,4.42980662398019e-61,"CD34","not","sig","CD34"
"232","ENSG00000176953",1.36304458341046,6.88336776418537e-52,"NFATC2IP",1.35482839693747,3.8541087421976e-53,"NFATC2IP","not","sig","NFATC2IP"
"233","ENSG00000131323",1.32259883979417,1.17246465416158e-51,"TRAF3",1.47016883051695,1.58071677730076e-51,"TRAF3","not","sig","TRAF3"
"234","ENSG00000161921",3.60533520775485,2.10804334734909e-51,"CXCL16",3.6793328400476,1.88460767621498e-55,"CXCL16","not","sig","CXCL16"
"235","ENSG00000163565",2.72769512573495,2.72086809126232e-51,"IFI16",2.73886873472731,3.8541087421976e-53,"IFI16","not","sig","IFI16"
"236","ENSG00000186088",4.33387034563291,3.80838401627821e-51,"GSAP",4.21913590165423,2.49648854369597e-52,"GSAP","not","sig","GSAP"
"237","ENSG00000180801",2.38680086218012,4.64739026060457e-51,"ARSJ",2.44341115159297,1.7030840954947e-49,"ARSJ","not","sig","ARSJ"
"238","ENSG00000006210",8.79560894921337,6.30118133110725e-51,"CX3CL1",9.66401817380439,2.15698373173593e-56,"CX3CL1","not","sig","CX3CL1"
"239","ENSG00000128849",3.32716161221843,8.24904653130025e-51,"CGNL1",3.41068517179273,2.11380551466411e-68,"CGNL1","not","sig","CGNL1"
"240","ENSG00000172046",1.82362733419253,9.13704331163273e-51,"USP19",1.80947230603202,2.61041933512689e-50,"USP19","not","sig","USP19"
"241","ENSG00000138760",1.48316299759651,1.35834561674171e-50,"SCARB2",1.46151763625012,1.29704250206673e-47,"SCARB2","not","sig","SCARB2"
"242","ENSG00000166848",1.94353929147089,2.0006109275113e-50,"TERF2IP, LOC105371348",1.90642936843508,2.84592700000583e-50,"TERF2IP, LOC105371348","not","sig","TERF2IP, LOC105371348"
"243","ENSG00000123610",4.04210487340661,2.6667606333121e-50,"TNFAIP6",4.07005345309837,3.13326341815187e-47,"TNFAIP6","not","sig","TNFAIP6"
"244","ENSG00000183696",5.89458976847075,2.69895620773534e-50,"UPP1",5.87059783113856,1.11437926888963e-65,"UPP1","not","sig","UPP1"
"245","ENSG00000146278",2.25912960166485,2.78693848247431e-50,"PNRC1",2.26608490722417,1.8152311385154e-50,"PNRC1","not","sig","PNRC1"
"246","ENSG00000169429",7.93535980613951,3.55271501132045e-50,"CXCL8",8.40398712939304,2.20535190832841e-51,"CXCL8","not","sig","CXCL8"
"247","ENSG00000164761",3.49882409279681,3.79757211635254e-50,"TNFRSF11B",3.52866853423205,8.99752155249591e-46,"TNFRSF11B","not","sig","TNFRSF11B"
"248","ENSG00000163870",2.78787741386012,1.1489138485771e-49,"TPRA1",2.77953717730621,6.13795318343626e-50,"TPRA1","not","sig","TPRA1"
"249","ENSG00000143147",2.24048257576945,1.15120073044866e-49,"GPR161",2.27215954270469,1.56249244871948e-46,"GPR161","not","sig","GPR161"
"250","ENSG00000144802",3.0339570381675,3.42008831245786e-49,"NFKBIZ",2.99104214562679,1.20850492746591e-52,"NFKBIZ","not","sig","NFKBIZ"
"251","ENSG00000101294",1.60076862451974,3.67905057885014e-49,"HM13",1.68837952942893,9.68859692801788e-53,"HM13","not","sig","HM13"
"252","ENSG00000111912",2.73929156453546,4.01670845194161e-49,"NCOA7",2.91453626095287,2.77455319456565e-55,"NCOA7","not","sig","NCOA7"
"253","ENSG00000164307",2.49306928765617,1.61330250720597e-48,"ERAP1",2.49892410121217,4.0097842322242e-48,"ERAP1","not","sig","ERAP1"
"254","ENSG00000178685",3.77028944791082,2.85948402465678e-48,"PARP10",3.80500732263585,6.02154870116358e-50,"PARP10","not","sig","PARP10"
"255","ENSG00000175040",3.81748403816513,3.83952475153949e-48,"CHST2",3.78486335095387,5.58732758421261e-45,"CHST2","not","sig","CHST2"
"256","ENSG00000167323",-1.55521754269459,4.32972750352406e-48,"STIM1",-1.56257921212701,3.40887757457652e-49,"STIM1","not","sig","STIM1"
"257","ENSG00000125148",4.17890912181481,5.19053518211569e-48,"MT2A",4.22318573367933,1.27998894981762e-55,"MT2A","not","sig","MT2A"
"258","ENSG00000079102",-2.01989272885838,6.66013148462504e-48,"RUNX1T1",-2.0197074532713,3.54560345165418e-47,"RUNX1T1","not","sig","RUNX1T1"
"259","ENSG00000146232",3.34038258782612,1.08778702080481e-47,"NFKBIE",3.29668307124915,1.30178842564116e-46,"NFKBIE","not","sig","NFKBIE"
"260","ENSG00000064012",2.04534520980998,1.27931551863549e-47,"CASP8",1.98926356385155,2.22849964576853e-47,"CASP8","not","sig","CASP8"
