"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"400","ENSG00000113645",3.07693174081187,5.23684664534463e-33,"WWC1",3.07338808342779,1.41014454804442e-33,"WWC1","not","sig","WWC1"
"401","ENSG00000165072",-3.03479232773432,5.52655519951431e-33,"MAMDC2",-3.04911544121718,3.91534975857042e-33,"MAMDC2","not","sig","MAMDC2"
"402","ENSG00000178685",3.20243639967869,7.43736102309042e-33,"PARP10",3.18589886036605,2.40408689214133e-33,"PARP10","not","sig","PARP10"
"403","ENSG00000139289",1.88935155373805,7.5245709427187e-33,"PHLDA1",2.20306133068841,2.61294205430136e-31,"PHLDA1","not","sig","PHLDA1"
"404","ENSG00000102699",1.07207196575316,8.96713021727333e-33,"PARP4",1.05690712491387,7.32673452793637e-29,"PARP4","not","sig","PARP4"
"405","ENSG00000146411",2.82737878777672,9.5612458941344e-33,"SLC2A12",2.81876505993128,7.820771135203e-32,"SLC2A12","not","sig","SLC2A12"
"406","ENSG00000151466",1.40232813084551,1.09727841686786e-32,"SCLT1",1.38953639388995,6.37558358720152e-31,"SCLT1","not","sig","SCLT1"
"407","ENSG00000183801",1.9223894175546,1.42240688551356e-32,"OLFML1",1.91823688964917,4.71733114621977e-32,"OLFML1","not","sig","OLFML1"
"408","ENSG00000144668",-2.81307001289185,1.58308397316635e-32,"ITGA9",-2.81810503462372,3.09862608551051e-32,"ITGA9","not","sig","ITGA9"
"409","ENSG00000113448",2.90447084224214,2.34756918858955e-32,"PDE4D",3.08765944842264,3.50764688507293e-27,"PDE4D","not","sig","PDE4D"
"410","ENSG00000243335",-1.1696538905444,2.42834946288793e-32,"KCTD7",-1.19238517206723,1.14966015234315e-34,"KCTD7","not","sig","KCTD7"
"411","ENSG00000151917",-2.01879597073205,2.54269925584793e-32,"BEND6",-1.68877917870648,1.33968034445158e-18,"BEND6","not","sig","BEND6"
"412","ENSG00000143384",1.42689193277095,2.58171418010698e-32,"MCL1",1.41440959878697,2.27294234634749e-29,"MCL1","not","sig","MCL1"
"413","ENSG00000075218",-1.86004094792741,2.59362086685881e-32,"GTSE1",-1.87222341060117,1.00262104693059e-33,"GTSE1","not","sig","GTSE1"
"414","ENSG00000174059",4.60270923525432,2.93285468079034e-32,"CD34",4.66665179848858,5.43707485421872e-28,"CD34","not","sig","CD34"
"415","ENSG00000154122",-1.26933435120092,3.02979302423952e-32,"ANKH",-1.21096256229186,7.7116099779396e-12,"ANKH","not","sig","ANKH"
"416","ENSG00000102804",1.16366043389298,3.17329877827711e-32,"TSC22D1",1.16121342145815,3.73335697561288e-29,"TSC22D1","not","sig","TSC22D1"
"417","ENSG00000154451",7.7887610454696,4.153023588459e-32,"GBP5",7.5840756057753,3.64123995007974e-29,"GBP5","not","sig","GBP5"
"418","ENSG00000164465",1.60095005849468,4.44655013806672e-32,"DCBLD1",1.57917829370319,7.98557504584431e-32,"DCBLD1","not","sig","DCBLD1"
"419","ENSG00000171729",4.15086282552305,7.43826037095294e-32,"TMEM51",4.35709333901559,4.34280890716662e-31,"TMEM51","not","sig","TMEM51"
"420","ENSG00000106772",-2.69523611744764,7.91716218469474e-32,"PRUNE2",-2.79986642382126,3.60229444892924e-32,"PRUNE2","not","sig","PRUNE2"
"421","ENSG00000271605",3.18286117683991,1.08226787784576e-31,"MILR1",3.21591179772442,2.40182924919616e-31,"MILR1","not","sig","MILR1"
"422","ENSG00000141434",8.52734901366614,1.20711509230063e-31,"MEP1B",8.23217782837232,3.13259260141541e-29,"MEP1B","not","sig","MEP1B"
"423","ENSG00000106780",-1.44327111646186,1.21196928662603e-31,"MEGF9",-1.47069055778985,1.66496717261582e-31,"MEGF9","not","sig","MEGF9"
"424","ENSG00000023330",1.40439750899518,1.38908930642606e-31,"ALAS1",1.39444191905873,2.33207045469624e-33,"ALAS1","not","sig","ALAS1"
"425","ENSG00000143013",2.03348266369623,1.5970856918682e-31,"LMO4",2.0591927388564,1.11987744129963e-35,"LMO4","not","sig","LMO4"
"426","ENSG00000154027",-1.66830096086547,1.68619209873695e-31,"AK5",-1.70399840508134,7.45291781999329e-33,"AK5","not","sig","AK5"
"427","ENSG00000168016",2.1251129348658,1.74269938654788e-31,"TRANK1",2.1481102441269,3.784080765206e-32,"TRANK1","not","sig","TRANK1"
"428","ENSG00000011426",-1.78562336637653,2.12512116433073e-31,"ANLN",-1.82969613212751,5.43153212788615e-27,"ANLN","not","sig","ANLN"
"429","ENSG00000187239",-1.24032811135766,2.20544628785948e-31,"FNBP1",-1.16532204836777,7.35829575317232e-23,"FNBP1","not","sig","FNBP1"
"430","ENSG00000130176",-3.49612006409756,2.35053089861371e-31,"CNN1",-3.50694062312748,3.91317485151439e-32,"CNN1","not","sig","CNN1"
"431","ENSG00000153066",0.925151709503646,2.46565178442093e-31,"TXNDC11",0.917887833137039,2.03376176265364e-30,"TXNDC11","not","sig","TXNDC11"
"432","ENSG00000164199",7.49621770266576,2.52931749326362e-31,"ADGRV1",7.48513157073177,3.64877456165847e-31,"ADGRV1","not","sig","ADGRV1"
"433","ENSG00000178726",2.78905337441059,3.00103628074641e-31,"THBD",2.80065465116854,1.09292408625823e-25,"THBD","not","sig","THBD"
"434","ENSG00000146776",1.99601413647323,3.07223109780852e-31,"ATXN7L1",1.99132419025621,1.24496963481599e-19,"ATXN7L1","not","sig","ATXN7L1"
"435","ENSG00000111262",6.85171232272048,4.46721791142152e-31,"KCNA1",5.27232816039893,1.26005424432348e-08,"KCNA1","not","sig","KCNA1"
"436","ENSG00000169439",-1.97549140250485,4.94042720165169e-31,"SDC2",-1.98844402760315,3.84921549860675e-30,"SDC2","not","sig","SDC2"
"437","ENSG00000092330",0.964067104586117,6.62801625784178e-31,"TINF2",0.964647642611937,1.01858105988216e-32,"TINF2","not","sig","TINF2"
"438","ENSG00000139318",2.42112060387584,7.17180338710266e-31,"DUSP6",2.41372784268859,2.75894674493267e-30,"DUSP6","not","sig","DUSP6"
"439","ENSG00000135205",4.18859866015706,7.80800199417793e-31,"CCDC146",4.19494694224472,2.1335190896229e-30,"CCDC146","not","sig","CCDC146"
"440","ENSG00000110031",2.40615405582069,8.41282161483274e-31,"LPXN",2.44782229282717,5.83621031895996e-30,"LPXN","not","sig","LPXN"
"441","ENSG00000106105",-1.28860390551964,9.0276056213565e-31,"GARS",-1.30418466617117,4.40576846132593e-33,"GARS","not","sig","GARS"
"442","ENSG00000022267",-1.98556601839986,9.52017411059764e-31,"FHL1",-2.00066340796076,1.74007677932985e-30,"FHL1","not","sig","FHL1"
"443","ENSG00000163644",1.50771844464115,1.31403935524496e-30,"PPM1K",1.49377926365724,1.2681292017521e-27,"PPM1K","not","sig","PPM1K"
"444","ENSG00000153147",1.19680159969249,1.44569826543199e-30,"SMARCA5",1.18326698963207,1.53185040765107e-28,"SMARCA5","not","sig","SMARCA5"
"445","ENSG00000125384",2.32707478581947,1.4878078045392e-30,"PTGER2",2.31270717283105,3.27935829104156e-30,"PTGER2","not","sig","PTGER2"
"446","ENSG00000177426",1.56821492246258,1.67996288713205e-30,"TGIF1",1.57223185904222,3.73327760802243e-30,"TGIF1","not","sig","TGIF1"
"447","ENSG00000004399",-1.65849369737962,1.74238424955535e-30,"PLXND1",-1.71117149006776,2.90847214684485e-33,"PLXND1","not","sig","PLXND1"
"448","ENSG00000121060",1.56112167257175,1.99125481645938e-30,"TRIM25",1.53895191805154,1.58222304002462e-28,"TRIM25","not","sig","TRIM25"
"449","ENSG00000146918",-1.50656256743846,2.10362459779059e-30,"NCAPG2",-1.5183554469135,9.48710832068694e-31,"NCAPG2","not","sig","NCAPG2"
"450","ENSG00000152102",-1.13909881955714,2.28159989805814e-30,"FAM168B",-1.15444092843635,8.75690542129686e-32,"FAM168B","not","sig","FAM168B"
"451","ENSG00000108960",2.77693720943264,2.60084841993146e-30,"MMD",2.76584581607261,1.20030734912578e-29,"MMD","not","sig","MMD"
"452","ENSG00000166272",0.955261641204671,2.79601264321153e-30,"WBP1L",0.937414232129651,9.37874001628796e-28,"WBP1L","not","sig","WBP1L"
"453","ENSG00000104368",2.25529535180936,3.17364141464985e-30,"PLAT",2.24491524343062,2.53850726029105e-30,"PLAT","not","sig","PLAT"
"454","ENSG00000183735",1.06273244069416,3.22507855786946e-30,"TBK1",1.05872737012763,2.2103749887436e-30,"TBK1","not","sig","TBK1"
"455","ENSG00000161714",-2.00186131510777,3.31717605312093e-30,"PLCD3",-2.0895360630365,2.85464039192266e-32,"PLCD3","not","sig","PLCD3"
"456","ENSG00000148773",-2.11506303154387,4.97459754335374e-30,"MKI67",-2.10672617288686,1.98685206235022e-28,"MKI67","not","sig","MKI67"
"457","ENSG00000103222",1.33801057686783,5.37922716617562e-30,"ABCC1",1.29001408497045,6.90624142376464e-30,"ABCC1","not","sig","ABCC1"
"458","ENSG00000164430",1.96622649450754,5.43651939068744e-30,"CGAS",2.13415397064049,3.06461104805404e-35,"CGAS","not","sig","CGAS"
"459","ENSG00000146070",2.02604879741846,5.57150268885744e-30,"PLA2G7",2.02153567458996,1.77301793115162e-29,"PLA2G7","not","sig","PLA2G7"
"460","ENSG00000183765",1.43037032240571,5.69178902192515e-30,"CHEK2",0.606314377730935,0.00895470747586342,"CHEK2","different","sig","CHEK2"
"461","ENSG00000176463",2.32623644385212,6.19475658936832e-30,"SLCO3A1",2.25460580092116,2.37227016089676e-22,"SLCO3A1","not","sig","SLCO3A1"
"462","ENSG00000001461",-1.37423193875153,6.42769396461134e-30,"NIPAL3",-1.40064301595095,8.03814059501208e-31,"NIPAL3","not","sig","NIPAL3"
"463","ENSG00000154188",2.05303101840114,7.27266343349547e-30,"ANGPT1",2.10312376664054,1.26291676853058e-25,"ANGPT1","not","sig","ANGPT1"
"464","ENSG00000111252",1.34455034715604,9.96154400842899e-30,"SH2B3",1.33191365434162,1.07151057076034e-27,"SH2B3","not","sig","SH2B3"
"465","ENSG00000123485",-1.57487652202462,1.20245227764794e-29,"HJURP",-1.60668644198097,1.8775779467336e-32,"HJURP","not","sig","HJURP"
"466","ENSG00000026025",-1.09907782973577,1.32759652972115e-29,"VIM",-1.11241818418204,1.99445975361949e-29,"VIM","not","sig","VIM"
